Question,Answer,Answered
"A patient presents with Frequent urge to urinate, Burning with urination, Cloudy urine and Bloody urine. What is the most likely diagnosis?",Cystitis,0
"A patient presents with Often asymptomatic, Fever, Sore throat and Fatigue. What is the most likely diagnosis?",Cytomegalovirus Infection,0
"A patient presents with Flaky white scalp, Itchy scalp and Greasy scalp skin. What is the most likely diagnosis?",Dandruff,0
"A patient presents with Slow motor development, Large head size, Poor coordination and Vomiting. What is the most likely diagnosis?",Dandy-Walker Syndrome,0
"A patient presents with Warty skin blemishes, Thick nails, Split nails and Rash in skin folds. What is the most likely diagnosis?",Darier's Disease,0
"A patient presents with Thumb-side wrist pain, Swelling near thumb and Difficulty gripping. What is the most likely diagnosis?",De Quervain's Tenosynovitis,0
"A patient presents with Leg swelling, Leg pain, Red skin on leg and Warm skin on leg. What is the most likely diagnosis?",Deep Vein Thrombosis,0
"A patient presents with Chronic low back pain, Pain radiating to legs, Numbness and Tingling. What is the most likely diagnosis?",Degenerative Disc Disease,0
"A patient presents with Thirst, Dark yellow urine, Fatigue and Dizziness. What is the most likely diagnosis?",Dehydration,0
"A patient presents with Acute confusion, Attention problems, Fluctuating awareness and Disorientation. What is the most likely diagnosis?",Delirium,0
A patient presents with Persistent delusions. What is the most likely diagnosis?,Delusional Disorder,0
"A patient presents with Memory loss, Difficulty problem-solving, Confusion and Personality changes. What is the most likely diagnosis?",Dementia,0
"A patient presents with Cognitive fluctuations, Visual hallucinations and Parkinsonism symptoms. What is the most likely diagnosis?",Dementia with Lewy Bodies,0
"A patient presents with High fever, Severe headache, Joint pain, Muscle pain and Rash. What is the most likely diagnosis?",Dengue Fever,0
"A patient presents with Toothache, Tooth sensitivity and Visible holes in teeth. What is the most likely diagnosis?",Dental Caries,0
"A patient presents with Persistent low mood, Loss of interest, Fatigue, Sleep changes, Feelings of worthlessness and Difficulty concentrating. What is the most likely diagnosis?",Depression,0
"A patient presents with Intensely itchy blisters, Rash on elbows, Rash on knees and Burning sensation. What is the most likely diagnosis?",Dermatitis Herpetiformis,0
"A patient presents with Progressive muscle weakness, Distinctive skin rash and Trouble swallowing. What is the most likely diagnosis?",Dermatomyositis,0
"A patient presents with Clumsiness, Poor coordination and Difficulty with motor tasks. What is the most likely diagnosis?",Developmental Coordination Disorder,0
"A patient presents with Extreme thirst, Frequent urination and Large amounts of diluted urine. What is the most likely diagnosis?",Diabetes Insipidus,0
"A patient presents with Increased thirst, Frequent urination, Unexplained weight loss and Fatigue. What is the most likely diagnosis?",Diabetes Mellitus,0
"A patient presents with Nausea, Vomiting, Abdominal pain, Fruity-scented breath and Rapid breathing. What is the most likely diagnosis?",Diabetic Ketoacidosis,0
"A patient presents with Swelling in legs, Swelling in feet, Protein in urine and Worsening blood pressure. What is the most likely diagnosis?",Diabetic Nephropathy,0
"A patient presents with Numbness in feet, Numbness in hands, Tingling pain, Burning pain and Muscle weakness. What is the most likely diagnosis?",Diabetic Neuropathy,0
"A patient presents with Blurry vision, Floaters, Vision loss and Dark spots. What is the most likely diagnosis?",Diabetic Retinopathy,0
"A patient presents with Red rash on buttocks, Irritated skin and Fussiness in infants. What is the most likely diagnosis?",Diaper Dermatitis,0
"A patient presents with Heart defects, Frequent infections, Developmental delay and Distinct facial features. What is the most likely diagnosis?",DiGeorge Syndrome,0
"A patient presents with Sore throat, Thick gray membrane in throat, Swollen neck glands and Fever. What is the most likely diagnosis?",Diphtheria,0
"A patient presents with Radiating arm pain, Radiating leg pain, Numbness, Tingling and Muscle weakness. What is the most likely diagnosis?",Disc Herniation,0
"A patient presents with Scaly disc-shaped sores, Scarring, Sores on scalp and Sores on face. What is the most likely diagnosis?",Discoid Lupus Erythematosus,0
"A patient presents with Widespread bleeding, Bruising, Blood clots and Low blood pressure. What is the most likely diagnosis?",Disseminated Intravascular Coagulation,0
"A patient presents with Two or more distinct identities, Memory gaps and Personal distress. What is the most likely diagnosis?",Dissociative Identity Disorder,0
"A patient presents with Severe abdominal pain, Fever, Nausea and Change in bowel habits. What is the most likely diagnosis?",Diverticulitis,0
"A patient presents with Often no symptoms, Mild cramps, Bloating and Constipation. What is the most likely diagnosis?",Diverticulosis,0
"A patient presents with Distinct facial appearance, Intellectual disability and Developmental delays. What is the most likely diagnosis?",Down Syndrome,0
"A patient presents with Painful skin blister, Emerging worm from skin and Intense burning pain. What is the most likely diagnosis?",Dracunculiasis,0
"A patient presents with Chest pain, Fever, Fatigue and Shortness of breath. What is the most likely diagnosis?",Dressler Syndrome,0
"A patient presents with Eye dryness, Gritty sensation, Burning, Stinging and Blurred vision. What is the most likely diagnosis?",Dry Eye Syndrome,0
"A patient presents with Progressive muscle weakness, Frequent falls, Difficulty walking and Large calf muscles. What is the most likely diagnosis?",Duchenne Muscular Dystrophy,0
"A patient presents with Nausea, Cramping, Diarrhea, Dizziness and Rapid heart rate after eating. What is the most likely diagnosis?",Dumping Syndrome,0
"A patient presents with Knots of tissue under skin, Fingers pulled toward palm and Limited hand function. What is the most likely diagnosis?",Dupuytren's Contracture,0
"A patient presents with Bloody diarrhea, Abdominal cramps, Fever and Nausea. What is the most likely diagnosis?",Dysentery,0
"A patient presents with Small itchy blisters, Rash on hands, Rash on feet and Peeling skin. What is the most likely diagnosis?",Dyshidrotic Eczema,0
"A patient presents with Difficulty reading, Trouble spelling, Slow reading speed and Mispronouncing words. What is the most likely diagnosis?",Dyslexia,0
"A patient presents with Painful menstrual cramps, Lower abdominal pain, Back pain and Headache. What is the most likely diagnosis?",Dysmenorrhea,0
"A patient presents with Pain during intercourse, Pain after sex and Deep pelvic pain. What is the most likely diagnosis?",Dyspareunia,0
"A patient presents with Chronic low mood, Low self-esteem, Poor concentration and Hopelessness. What is the most likely diagnosis?",Dysthymia,0
"A patient presents with Involuntary muscle contractions, Repetitive movements and Abnormal postures. What is the most likely diagnosis?",Dystonia,0
"A patient presents with Prolonged bleeding, Easy bruising, Joint pain and Joint swelling. What is the most likely diagnosis?",Haemophilia,0
"A patient presents with Fever, Sore throat, Rash on hands, Rash on feet and Mouth sores. What is the most likely diagnosis?",Hand Foot and Mouth Disease,0
"A patient presents with Fever, Muscle aches, Shortness of breath and Cough. What is the most likely diagnosis?",Hantavirus Pulmonary Syndrome,0
"A patient presents with Fatigue, Weight gain, Cold intolerance and Goiter. What is the most likely diagnosis?",Hashimoto's Thyroiditis,0
"A patient presents with Sneezing, Runny nose, Itchy eyes and Nasal congestion. What is the most likely diagnosis?",Hay Fever,0
"A patient presents with Sore that does not heal, Difficulty swallowing and Voice changes. What is the most likely diagnosis?",Head and Neck Cancer,0
"A patient presents with Chest pain, Chest pressure, Shortness of breath, Pain in arm and Pain in jaw. What is the most likely diagnosis?",Heart Attack,0
"A patient presents with Shortness of breath, Fatigue, Swollen legs and Swollen ankles. What is the most likely diagnosis?",Heart Failure,0
"A patient presents with High body temperature, Confusion, Flushed skin and No sweating. What is the most likely diagnosis?",Heat Stroke,0
"A patient presents with Fatigue, Joint pain, Abdominal pain and Weakness. What is the most likely diagnosis?",Hemochromatosis,0
"A patient presents with Bloody diarrhea, Low urine output, Fatigue and Pale skin. What is the most likely diagnosis?",Hemolytic Uremic Syndrome,0
"A patient presents with Anal itching, Pain, Discomfort and Bleeding during bowel movements. What is the most likely diagnosis?",Hemorrhoids,0
"A patient presents with Jaundice, Fatigue, Nausea, Abdominal pain, Dark urine, Loss of appetite and Fever. What is the most likely diagnosis?",Hepatitis A,0
"A patient presents with Jaundice, Fatigue, Dark urine, Abdominal pain, Joint pain, Nausea, Vomiting and Loss of appetite. What is the most likely diagnosis?",Hepatitis B,0
"A patient presents with Fatigue, Jaundice, Poor appetite, Joint pain, Fever, Nausea and Abdominal pain. What is the most likely diagnosis?",Hepatitis C,0
"A patient presents with Abdominal pain, Unexplained weight loss, Jaundice and Swelling. What is the most likely diagnosis?",Hepatocellular Carcinoma,0
"A patient presents with Sharp pain in arm, Sharp pain in leg, Numbness, Tingling and Muscle weakness. What is the most likely diagnosis?",Herniated Disc,0
"A patient presents with Painful sores on mouth, Painful sores on genitals, Painful sores on rectum and Blisters. What is the most likely diagnosis?",Herpes Simplex Virus Infection,0
"A patient presents with Painful blistering rash, Rash on one side of body, Tingling and Fever. What is the most likely diagnosis?",Herpes Zoster,0
"A patient presents with Heartburn, Acid reflux, Chest pain and Difficulty swallowing. What is the most likely diagnosis?",Hiatal Hernia,0
"A patient presents with Painful lumps under skin, Recurring lumps, Blackheads and Tunnels under skin. What is the most likely diagnosis?",Hidradenitis Suppurativa,0
"A patient presents with Failure to pass stool, Swollen belly and Vomiting. What is the most likely diagnosis?",Hirschsprung's Disease,0
"A patient presents with Fever, Cough, Fatigue and Chest pain. What is the most likely diagnosis?",Histoplasmosis,0
"A patient presents with Itchy welts, Raised welts and Red welts. What is the most likely diagnosis?",Hives,0
"A patient presents with Flu-like symptoms, Weight loss and Recurrent infections. What is the most likely diagnosis?",HIV/AIDS,0
"A patient presents with Difficulty discarding possessions, Cluttered living spaces and Distress. What is the most likely diagnosis?",Hoarding Disorder,0
"A patient presents with Painless swelling of lymph nodes, Fever, Night sweats and Weight loss. What is the most likely diagnosis?",Hodgkin's Lymphoma,0
"A patient presents with Often no symptoms, Can cause genital warts and Can cause cancers. What is the most likely diagnosis?",HPV Infection,0
"A patient presents with Involuntary jerking movements, Cognitive decline and Mood swings. What is the most likely diagnosis?",Huntington's Disease,0
"A patient presents with Enlarged head in infants, Headache, Nausea and Vision problems. What is the most likely diagnosis?",Hydrocephalus,0
A patient presents with No symptoms and Detected by blood test. What is the most likely diagnosis?,Hypercholesterolemia,0
"A patient presents with Usually no symptoms, Sometimes headaches and Sometimes dizziness. What is the most likely diagnosis?",Hypertension,0
"A patient presents with Unexplained weight loss, Rapid heartbeat, Irregular heartbeat, Anxiety, Increased appetite, Tremors, Sweating and Difficulty sleeping. What is the most likely diagnosis?",Hyperthyroidism,0
"A patient presents with Chest pain, Shortness of breath, Fainting and Heart palpitations. What is the most likely diagnosis?",Hypertrophic Cardiomyopathy,0
"A patient presents with Shakiness, Sweating, Confusion and Rapid heartbeat. What is the most likely diagnosis?",Hypoglycemia,0
"A patient presents with Fatigue, Weight gain, Feeling cold, Depression, Dry skin, Constipation, Hair loss and Muscle weakness. What is the most likely diagnosis?",Hypothyroidism,0
"A patient presents with Developmental delay, Bleeding tendency and Congenital heart defects. What is the most likely diagnosis?",Jacobsen Syndrome,0
"A patient presents with Syncope, Fainting, Seizures and Congenital sensorineural deafness. What is the most likely diagnosis?",Jervell and Lange-Nielsen Syndrome,0
"A patient presents with Recurrent skin abscesses, Severe eczema and Frequent lung infections. What is the most likely diagnosis?",Job Syndrome,0
"A patient presents with Hypotonia, Ataxia, Abnormal breathing and Developmental delay. What is the most likely diagnosis?",Joubert Syndrome,0
"A patient presents with Widespread blistering, Painful erosions and Mucosal involvement. What is the most likely diagnosis?",Junctional Epidermolysis Bullosa,0
"A patient presents with Proximal muscle weakness, Characteristic skin rash and Fatigue. What is the most likely diagnosis?",Juvenile Dermatomyositis,0
"A patient presents with Arthritis, Skin rash and Uveitis. What is the most likely diagnosis?",Juvenile Granulomatous Arthritis,0
"A patient presents with Movement abnormalities, Cognitive decline and Behavioral changes. What is the most likely diagnosis?",Juvenile Huntington Disease,0
"A patient presents with Joint pain, Joint swelling and Morning stiffness. What is the most likely diagnosis?",Juvenile Idiopathic Arthritis,0
"A patient presents with Myoclonic jerks, Generalized seizures and Morning predominance. What is the most likely diagnosis?",Juvenile Myoclonic Epilepsy,0
"A patient presents with Recurrent nosebleeds, Nasal obstruction and Facial swelling. What is the most likely diagnosis?",Juvenile Nasopharyngeal Angiofibroma,0
"A patient presents with Polyuria, Polydipsia, Anemia and Progressive kidney failure. What is the most likely diagnosis?",Juvenile Nephronophthisis,0
"A patient presents with Progressive vision loss, Photophobia and High intraocular pressure. What is the most likely diagnosis?",Juvenile Open-Angle Glaucoma,0
"A patient presents with Bone pain, Deformity and Fractures. What is the most likely diagnosis?",Juvenile Paget Disease,0
"A patient presents with Multiple colorectal polyps, Rectal bleeding and Anemia. What is the most likely diagnosis?",Juvenile Polyposis Syndrome,0
"A patient presents with Fatigue, Joint pain, Rash and Organ inflammation. What is the most likely diagnosis?",Juvenile Systemic Lupus Erythematosus,0
"A patient presents with Short trunk, Malformed vertebrae, Malformed ribs and Respiratory compromise. What is the most likely diagnosis?",Jarcho-Levin Syndrome,0
"A patient presents with Newborn vomiting, Abdominal distension and Failure to pass meconium. What is the most likely diagnosis?",Jejunal Atresia,0
"A patient presents with Small narrow chest, Respiratory distress and Short stature. What is the most likely diagnosis?",Jeune Syndrome,0
"A patient presents with Excess body fat, High BMI and Increased risk of other diseases. What is the most likely diagnosis?",Obesity,0
"A patient presents with Unwanted thoughts, Obsessions, Repetitive behaviors, Compulsions and Distress. What is the most likely diagnosis?",Obsessive-Compulsive Disorder,0
"A patient presents with Blurry vision, Dark spot on iris, Change in pupil shape and Floaters. What is the most likely diagnosis?",Ocular Melanoma,0
"A patient presents with Dry eyes, Burning, Stinging, Blurry vision and Red eyelids. What is the most likely diagnosis?",Ocular Rosacea,0
"A patient presents with Severe neck pain, Stiffness and Neurological symptoms. What is the most likely diagnosis?",Odontoid Fracture,0
A patient presents with Uterus smaller than expected and Reduced fetal movement. What is the most likely diagnosis?,Oligohydramnios,0
"A patient presents with Severe itching, Skin rash, Vision changes and Blindness. What is the most likely diagnosis?",Onchocerciasis,0
"A patient presents with Angry mood, Irritable mood, Argumentative behavior and Vindictiveness. What is the most likely diagnosis?",Oppositional Defiant Disorder,0
"A patient presents with Pain with eye movement, Blurred vision, Loss of color vision and Vision loss. What is the most likely diagnosis?",Optic Neuritis,0
"A patient presents with Sore that doesn't heal, Lump in mouth, Pain and Difficulty swallowing. What is the most likely diagnosis?",Oral Cancer,0
"A patient presents with White lacy patches on gums, White lacy patches on tongue, Red swollen tissues and Mouth pain. What is the most likely diagnosis?",Oral Lichen Planus,0
"A patient presents with White patches on tongue, White patches on cheeks, Soreness and Loss of taste. What is the most likely diagnosis?",Oral Thrush,0
"A patient presents with Testicular pain, Testicular swelling, Fever, Nausea and Vomiting. What is the most likely diagnosis?",Orchitis,0
"A patient presents with Lethargy, Vomiting, Seizures and Intellectual disability. What is the most likely diagnosis?",Ornithine Transcarbamylase Deficiency,0
"A patient presents with Dizziness upon standing, Lightheadedness, Fainting and Blurred vision. What is the most likely diagnosis?",Orthostatic Hypotension,0
"A patient presents with Knee pain, Swelling below kneecap and Tenderness over shinbone. What is the most likely diagnosis?",Osgood-Schlatter Disease,0
"A patient presents with Joint pain, Stiffness, Decreased flexibility and Bone spurs. What is the most likely diagnosis?",Osteoarthritis,0
"A patient presents with Joint pain, Swelling, Catching of joint and Locking of joint. What is the most likely diagnosis?",Osteochondritis Dissecans,0
"A patient presents with Bones that break easily, Bone deformities and Blue sclerae. What is the most likely diagnosis?",Osteogenesis Imperfecta,0
"A patient presents with Dull aching bone pain, Muscle weakness and Difficulty walking. What is the most likely diagnosis?",Osteomalacia,0
"A patient presents with Bone pain, Fever, Swelling over area, Redness over area and Fatigue. What is the most likely diagnosis?",Osteomyelitis,0
"A patient presents with Joint pain, Severe joint pain and Limited range of motion. What is the most likely diagnosis?",Osteonecrosis,0
"A patient presents with Frequent fractures, Bone pain, Vision problems, Hearing problems and Anemia. What is the most likely diagnosis?",Osteopetrosis,0
"A patient presents with Often no symptoms until fracture, Loss of height and Stooped posture. What is the most likely diagnosis?",Osteoporosis,0
"A patient presents with Bone pain worse at night, Swelling near bone and Broken bone. What is the most likely diagnosis?",Osteosarcoma,0
"A patient presents with Ear pain, Itching in ear canal, Redness and Discharge from ear. What is the most likely diagnosis?",Otitis Externa,0
"A patient presents with Ear pain, Fluid drainage, Hearing difficulty and Fever. What is the most likely diagnosis?",Otitis Media,0
"A patient presents with Gradual hearing loss, Ringing in ear, Tinnitus and Dizziness. What is the most likely diagnosis?",Otosclerosis,0
"A patient presents with Bloating, Pelvic pain, Abdominal pain, Feeling full quickly and Urinary urgency. What is the most likely diagnosis?",Ovarian Cancer,0
"A patient presents with Pelvic pain, Bloating and Fullness in abdomen. What is the most likely diagnosis?",Ovarian Cysts,0
"A patient presents with Sudden urge to urinate, Frequent urination and Nocturia. What is the most likely diagnosis?",Overactive Bladder,0
"A patient presents with Persistent dry cough, Shortness of breath, Fatigue and Skin rashes. What is the most likely diagnosis?",Sarcoidosis,0
"A patient presents with Intense itching worse at night, Pimple-like rash and Burrows in skin. What is the most likely diagnosis?",Scabies,0
"A patient presents with Red sandpaper-like rash, Sore throat, High fever and Strawberry tongue. What is the most likely diagnosis?",Scarlet Fever,0
"A patient presents with Abdominal pain, Diarrhea, Blood in stool, Blood in urine and Fever. What is the most likely diagnosis?",Schistosomiasis,0
"A patient presents with Hallucinations, Delusions, Disorganized thinking, Social withdrawal, Difficulty concentrating, Lack of emotion and Confused speech. What is the most likely diagnosis?",Schizophrenia,0
"A patient presents with Pain radiating from lower back, Pain down one leg, Numbness and Weakness. What is the most likely diagnosis?",Sciatica,0
"A patient presents with Hardened skin, Tight skin patches, Cold numb fingers, Cold numb toes and Joint pain. What is the most likely diagnosis?",Scleroderma,0
"A patient presents with Uneven shoulders, Uneven waist, One hip higher and Spine curvature. What is the most likely diagnosis?",Scoliosis,0
"A patient presents with Fatigue, Swollen gums, Bleeding gums, Joint pain and Easy bruising. What is the most likely diagnosis?",Scurvy,0
"A patient presents with Depression during specific seasons, Low energy and Oversleeping. What is the most likely diagnosis?",Seasonal Affective Disorder,0
"A patient presents with Scaly patches, Red skin, Stubborn dandruff on scalp, Stubborn dandruff on face and Stubborn dandruff on chest. What is the most likely diagnosis?",Seborrheic Dermatitis,0
"A patient presents with High heart rate, Fever, Low temperature, Confusion and Extreme pain. What is the most likely diagnosis?",Sepsis,0
"A patient presents with High fever, Dry cough, Shortness of breath and Muscle aches. What is the most likely diagnosis?",SARS,0
"A patient presents with Bloody diarrhea, Fever and Stomach cramps. What is the most likely diagnosis?",Shigellosis,0
"A patient presents with Painful rash with blisters, Rash on one side of body, Burning pain and Tingling pain. What is the most likely diagnosis?",Shingles,0
"A patient presents with Episodes of severe pain, Pain crises, Fatigue, Swelling of hands, Swelling of feet and Yellow skin. What is the most likely diagnosis?",Sickle Cell Anemia,0
"A patient presents with Shortness of breath, Chronic cough, Fatigue and Chest pain. What is the most likely diagnosis?",Silicosis,0
"A patient presents with Facial pain, Facial pressure, Stuffy nose, Runny nose, Headache and Loss of smell. What is the most likely diagnosis?",Sinusitis,0
"A patient presents with Dry eyes, Dry mouth, Fatigue and Joint pain. What is the most likely diagnosis?",Sjogrens Syndrome,0
"A patient presents with Loud snoring, Stopping breathing during sleep and Daytime sleepiness. What is the most likely diagnosis?",Sleep Apnea,0
"A patient presents with High fever, Body aches, Distinctive rash and Fluid-filled blisters. What is the most likely diagnosis?",Smallpox,0
"A patient presents with Intense fear of social situations, Worry about embarrassment and Avoiding people. What is the most likely diagnosis?",Social Anxiety Disorder,0
"A patient presents with Painful lump, Swelling and Abdominal pain. What is the most likely diagnosis?",Soft Tissue Sarcoma,0
"A patient presents with Opening in back, Leg weakness, Bowel problems and Bladder problems. What is the most likely diagnosis?",Spina Bifida,0
"A patient presents with Progressive muscle weakness, Poor muscle tone and Trouble with motor skills. What is the most likely diagnosis?",Spinal Muscular Atrophy,0
"A patient presents with Back pain, Neck pain, Numbness in limbs, Weakness in limbs and Balance problems. What is the most likely diagnosis?",Spinal Stenosis,0
"A patient presents with Lower back pain, Pain radiating down legs and Muscle tightness. What is the most likely diagnosis?",Spondylolisthesis,0
"A patient presents with Boils on skin, Pus-filled bumps, Redness, Swelling and Pain. What is the most likely diagnosis?",Staphylococcal Infection,0
"A patient presents with Flu-like symptoms, Painful red rash, Painful purple rash and Blisters. What is the most likely diagnosis?",Stevens-Johnson Syndrome,0
A patient presents with Progressive muscle stiffness and Painful muscle spasms. What is the most likely diagnosis?,Stiff Person Syndrome,0
"A patient presents with Indigestion, Stomach pain, Feeling full after small meals and Unintentional weight loss. What is the most likely diagnosis?",Stomach Cancer,0
A patient presents with Eyes don't look in same direction and Poor depth perception. What is the most likely diagnosis?,Strabismus,0
"A patient presents with Severe sore throat, Pain when swallowing, Fever and Tiny red spots on roof of mouth. What is the most likely diagnosis?",Strep Throat,0
"A patient presents with Sudden numbness on one side, Sudden weakness on one side, Confusion, Trouble speaking and Trouble seeing. What is the most likely diagnosis?",Stroke,0
A patient presents with Painful red lump on eyelid and Swelling of eyelid. What is the most likely diagnosis?,Stye,0
"A patient presents with Sudden severe thunderclap headache, Nausea and Loss of consciousness. What is the most likely diagnosis?",Subarachnoid Hemorrhage,0
A patient presents with No visible symptoms and Unexpected death of healthy infant. What is the most likely diagnosis?,Sudden Infant Death Syndrome,0
"A patient presents with Painless sore, Chancre, Body rash and Can be asymptomatic. What is the most likely diagnosis?",Syphilis,0
"A patient presents with Progressive weakness in back, Progressive weakness in shoulders, Progressive weakness in arms, Progressive weakness in legs, Pain in back, Pain in shoulders, Pain in arms and Pain in legs. What is the most likely diagnosis?",Syringomyelia,0
"A patient presents with Fatigue, Joint pain, Butterfly-shaped facial rash, Fever, Chest pain, Hair loss, Sensitivity to sunlight and Kidney problems. What is the most likely diagnosis?",Systemic Lupus Erythematosus,0
"A patient presents with Vaginal discharge, Itching and Burning. What is the most likely diagnosis?",Vaginitis,0
"A patient presents with Intense itching, Thick white discharge and Burning. What is the most likely diagnosis?",Vulvovaginal Candidiasis,0
"A patient presents with Vulvar redness, Itching and Soreness. What is the most likely diagnosis?",Vulvitis,0
"A patient presents with Vaginal bleeding, Pelvic pain and Discharge. What is the most likely diagnosis?",Vaginal Cancer,0
"A patient presents with Vulvar lump, Itching and Bleeding. What is the most likely diagnosis?",Vulvar Cancer,0
"A patient presents with Fever, Itchy vesicular rash and Malaise. What is the most likely diagnosis?",Varicella,0
"A patient presents with Leg pain, Swelling and Visible bulging veins. What is the most likely diagnosis?",Varicose Veins,0
"A patient presents with Scrotal heaviness, Visible enlarged veins and Infertility. What is the most likely diagnosis?",Varicocele,0
"A patient presents with Fever, Rash, Organ-specific symptoms and Fatigue. What is the most likely diagnosis?",Vasculitis,0
"A patient presents with Fainting, Lightheadedness and Sweating. What is the most likely diagnosis?",Vasovagal Syncope,0
"A patient presents with Memory loss, Slowed thinking and Confusion. What is the most likely diagnosis?",Vascular Dementia,0
"A patient presents with Jaundice, Fatigue, Abdominal pain and Dark urine. What is the most likely diagnosis?",Viral Hepatitis,0
"A patient presents with Headache, Fever, Neck stiffness and Photophobia. What is the most likely diagnosis?",Viral Meningitis,0
"A patient presents with Fever, Confusion, Seizures and Headache. What is the most likely diagnosis?",Viral Encephalitis,0
"A patient presents with Red eye, Tearing and Watery discharge. What is the most likely diagnosis?",Viral Conjunctivitis,0
"A patient presents with Diarrhea, Vomiting, Abdominal cramps and Fever. What is the most likely diagnosis?",Viral Gastroenteritis,0
"A patient presents with Cough, Fever, Shortness of breath and Chest pain. What is the most likely diagnosis?",Viral Pneumonia,0
