Disease,Category,Primary Symptoms,Secondary Symptoms,Severe Symptoms
Gout,Musculoskeletal,"Severe joint pain, Redness, Swelling","Warmth in affected joint, Limited range of motion","Severe pain episodes, Joint damage"
Depression,Mental Health,"Persistent sadness, Loss of interest","Fatigue, Sleep disturbances, Appetite changes, Difficulty concentrating, Feelings of worthlessness","Suicidal thoughts, Severe depression"
Anxiety Disorders,Mental Health,"Excessive worry, Restlessness","Rapid heartbeat, Sweating, Trembling, Difficulty concentrating, Sleep problems","Panic attacks, Severe anxiety"
Bipolar Disorder,Mental Health,"Mood swings, Manic episodes, Depressive episodes","Changes in energy, Sleep disturbances, Impulsive behavior","Suicidal thoughts, Severe mania"
Schizophrenia,Mental Health,"Hallucinations, Delusions, Disorganized thinking","Social withdrawal, Difficulty concentrating, Lack of emotion, Confused speech","Severe psychosis, Catatonia"
Cancer (General),Oncological,"Unexplained weight loss, Fatigue, Pain","Lumps, Changes in skin, Persistent cough, Unusual bleeding","Metastasis, Organ failure"
Breast Cancer,Oncological,"Breast lump, Change in breast shape","Nipple discharge, Skin changes, Breast pain, Swelling","Metastasis, Advanced cancer"
Lung Cancer,Oncological,"Persistent cough, Coughing up blood, Chest pain","Shortness of breath, Hoarseness, Weight loss, Bone pain","Metastasis, Respiratory failure"
Colon Cancer,Oncological,"Changes in bowel habits, Rectal bleeding","Abdominal pain, Weakness, Weight loss","Bowel obstruction, Metastasis"
Prostate Cancer,Oncological,"Often no early symptoms","Difficulty urinating, Blood in urine, Pelvic discomfort","Bone pain, Metastasis"
Crohn's Disease,Gastrointestinal,"Diarrhea, Abdominal pain, Cramping","Weight loss, Fatigue, Blood in stool, Reduced appetite","Bowel obstruction, Severe malnutrition"
Ulcerative Colitis,Gastrointestinal,"Diarrhea with blood, Abdominal pain","Urgency to defecate, Weight loss, Fatigue, Fever","Toxic megacolon, Severe bleeding"
IBS,Gastrointestinal,"Abdominal pain, Bloating, Gas","Diarrhea, Constipation, Mucus in stool, Cramping",None
GERD,Gastrointestinal,"Heartburn, Acid reflux","Difficulty swallowing, Chest pain, Regurgitation, Chronic cough","Esophageal damage, Barrett's esophagus"
Peptic Ulcer,Gastrointestinal,"Burning stomach pain, Bloating","Nausea, Vomiting, Intolerance to fatty foods, Heartburn","Bleeding ulcer, Perforation"
Hepatitis A,Infectious,"Fatigue, Nausea, Abdominal pain","Jaundice, Dark urine, Loss of appetite, Fever","Liver failure (rare)"
Hepatitis B,Infectious,"Fatigue, Abdominal pain, Jaundice","Dark urine, Joint pain, Nausea, Vomiting, Loss of appetite","Chronic liver disease, Cirrhosis"
Hepatitis C,Infectious,"Often no symptoms initially","Fatigue, Fever, Nausea, Abdominal pain, Jaundice","Cirrhosis, Liver cancer"
Cirrhosis,Gastrointestinal,"Fatigue, Easy bruising, Jaundice","Itchy skin, Fluid buildup in legs/abdomen, Weight loss, Confusion","Liver failure, Portal hypertension"
Kidney Stones,Urological,"Severe pain in side/back, Pain during urination","Blood in urine, Nausea, Vomiting, Frequent urination, Fever","Kidney damage, Urinary blockage"
Chronic Kidney Disease,Urological,"Often no early symptoms","Fatigue, Swelling in legs/ankles, Shortness of breath, Nausea, Confusion","Kidney failure, Dialysis needed"
UTI,Infectious,"Burning during urination, Frequent urination","Cloudy urine, Strong-smelling urine, Pelvic pain, Blood in urine","Kidney infection, Sepsis"
Hypothyroidism,Endocrine,"Fatigue, Weight gain, Cold sensitivity","Constipation, Dry skin, Hair loss, Depression, Muscle weakness","Myxedema coma (rare)"
Hyperthyroidism,Endocrine,"Weight loss, Rapid heartbeat, Anxiety","Increased appetite, Tremors, Sweating, Difficulty sleeping, Irritability","Thyroid storm, Heart problems"
Lupus,Autoimmune,"Joint pain, Fatigue, Skin rashes","Fever, Chest pain, Hair loss, Sensitivity to sunlight, Kidney problems","Kidney failure, Severe organ damage"
Celiac Disease,Autoimmune,"Diarrhea, Bloating, Abdominal pain","Weight loss, Fatigue, Anemia, Skin rash, Bone/joint pain","Malnutrition, Osteoporosis"
HIV/AIDS,Infectious,"Often no symptoms initially","Fever, Swollen lymph nodes, Sore throat, Rash, Fatigue","Opportunistic infections, AIDS"
Malaria,Infectious,"Fever, Chills, Sweating","Headache, Nausea, Vomiting, Muscle pain, Fatigue","Cerebral malaria, Organ failure"
Dengue Fever,Infectious,"High fever, Severe headache, Pain behind eyes","Muscle/joint pain, Rash, Mild bleeding, Nausea","Dengue hemorrhagic fever, Shock"
Chickenpox,Infectious,"Itchy rash with blisters, Fever","Fatigue, Loss of appetite, Headache","Bacterial infections, Pneumonia"
Measles,Infectious,"High fever, Cough, Runny nose, Red eyes","Rash, White spots in mouth, Sore throat","Encephalitis, Pneumonia"
Mumps,Infectious,"Swollen salivary glands, Fever","Headache, Muscle aches, Fatigue, Loss of appetite, Pain when chewing","Meningitis, Orchitis"
Lyme Disease,Infectious,"Rash (bull's-eye), Fever","Fatigue, Headache, Joint pain","Facial paralysis, Neurological problems"
Eczema,Dermatological,"Itchy skin, Red rash","Dry skin, Scaly patches, Thickened skin, Small bumps","Severe infection, Widespread rash"
Psoriasis,Dermatological,"Red patches with silvery scales","Itching, Burning, Dry cracked skin, Thickened nails","Psoriatic arthritis, Widespread lesions"
Acne,Dermatological,"Pimples, Blackheads, Whiteheads","Cysts, Nodules, Skin redness, Scarring","Severe cystic acne, Deep scarring"
Rosacea,Dermatological,"Facial redness, Visible blood vessels","Swollen bumps, Burning sensation, Eye problems, Thickened skin","Rhinophyma, Severe inflammation"
Anemia,Hematological,"Fatigue, Weakness, Pale skin","Shortness of breath, Dizziness, Cold hands/feet, Headache, Irregular heartbeat","Severe anemia, Heart problems"
Leukemia,Oncological,"Fatigue, Frequent infections, Easy bruising","Weight loss, Swollen lymph nodes, Fever, Bone pain, Night sweats","Bone marrow failure, Organ damage"
Sickle Cell Disease,Hematological,"Pain episodes, Swelling in hands/feet","Fatigue, Frequent infections, Delayed growth, Vision problems","Stroke, Organ damage"
Glaucoma,Ophthalmological,"Often no early symptoms","Peripheral vision loss, Eye pain, Blurred vision, Halos around lights","Blindness, Complete vision loss"
Cataracts,Ophthalmological,"Cloudy vision, Faded colors","Difficulty seeing at night, Sensitivity to light, Double vision","Severe vision impairment"
Macular Degeneration,Ophthalmological,"Blurred central vision, Difficulty recognizing faces","Straight lines appear wavy, Need for brighter light","Central vision loss, Blindness"
Otitis Media,Infectious,"Ear pain, Fluid drainage","Fever, Hearing loss, Difficulty sleeping","Hearing loss, Mastoiditis"
Tinnitus,Otological,"Ringing in ears, Buzzing sounds","Roaring, Clicking, Hissing sounds, Hearing loss","Severe distress, Sleep problems"
Sinusitis,Respiratory,"Facial pain, Nasal congestion","Thick nasal discharge, Reduced sense of smell, Headache, Fever","Chronic sinusitis, Meningitis (rare)"
Tonsillitis,Infectious,"Sore throat, Swollen tonsils","Difficulty swallowing, Fever, Bad breath, Swollen lymph nodes","Abscess, Airway obstruction"
Appendicitis,Gastrointestinal,"Sudden pain around navel, Pain in lower right abdomen","Nausea, Vomiting, Loss of appetite, Fever, Inability to pass gas","Rupture, Peritonitis"
Gallstones,Gastrointestinal,"Sudden severe pain in upper right abdomen","Pain in right shoulder, Nausea, Vomiting, Jaundice","Gallbladder infection, Pancreatitis"
Pancreatitis,Gastrointestinal,"Severe upper abdominal pain, Nausea","Vomiting, Fever, Rapid pulse, Weight loss, Oily stools","Pancreatic necrosis, Organ failure"
Endometriosis,Gynecological,"Painful periods, Pelvic pain","Pain during intercourse, Infertility, Fatigue, Diarrhea, Constipation","Severe pain, Infertility"
PCOS,Gynecological,"Irregular periods, Excess hair growth, Acne","Weight gain, Thinning hair, Darkened skin patches, Infertility","Diabetes, Heart disease"
Prostate Enlargement,Urological,"Frequent urination, Difficulty starting urination","Weak urine stream, Dribbling, Inability to empty bladder","Urinary retention, Kidney damage"
Erectile Dysfunction,Urological,"Difficulty achieving/maintaining erection","Reduced sexual desire","Relationship problems"
Sleep Apnea,Sleep Disorder,"Loud snoring, Episodes of stopped breathing","Excessive daytime sleepiness, Morning headache, Difficulty concentrating, Irritability","Heart disease, Stroke"
Insomnia,Sleep Disorder,"Difficulty falling asleep, Difficulty staying asleep","Daytime fatigue, Irritability, Difficulty concentrating, Depression","Chronic sleep deprivation"
Fibromyalgia,Musculoskeletal,"Widespread musculoskeletal pain, Fatigue","Sleep problems, Memory issues, Mood changes, Headaches","Severe disability, Depression"
Chronic Fatigue Syndrome,Neurological,"Extreme fatigue not improved by rest","Sleep problems, Muscle pain, Joint pain, Headaches, Difficulty concentrating","Severe disability, Bedridden"
Vertigo,Neurological,"Spinning sensation, Loss of balance","Nausea, Vomiting, Sweating, Abnormal eye movements","Falls, Injuries"
Bell's Palsy,Neurological,"Sudden weakness/paralysis of facial muscles","Drooling, Difficulty closing eye, Altered taste, Increased sensitivity to sound","Permanent facial paralysis (rare)"
Carpal Tunnel Syndrome,Musculoskeletal,"Numbness in hand, Tingling in fingers","Weakness in hand, Pain in wrist/hand, Difficulty gripping objects","Permanent nerve damage"
Tendonitis,Musculoskeletal,"Pain near joint, Tenderness near joint","Swelling, Stiffness, Warmth, Weakness","Tendon rupture, Chronic pain"
